Barcelona_Block_SOO_Penalization* 11:52:09 Parameters 0.818381,0.087881,0.862020,0.245659,0.180667,0.617430,0.622820,0.627666,0.469718,0.394059,0.164019,0.605411,0.202901,0.558584,0.697987,0.488360,0.039883,0.885550,0.295126,0.442537,0.151537,0.691074,0.867523,0.475009,0.137489,0.314254,0.107693,0.302783,0.166898,0.326231,0.000036,0.877385,0.264422,0.109475,0.472110,0.549699,0.369510,0.359148,0.858973,0.726483,0.232317,0.346428,0.466714,0.970685,0.002606,0.392366,0.830160,0.831416,0.066053,0.059640,0.113145,0.721335,0.344291,0.149103,0.469393,0.692645,0.743297,0.099016,0.513257,0.558199,0.935850,0.882355,0.466221,0.648158,0.422451,0.653970,0.925023,0.626092,0.346438,0.534988,0.542994,0.642125,0.137563,0.819962,0.471824,0.500542,0.966797,0.096788,0.002555,0.394164 Objectives 0.3229
Barcelona_Block_SOO_Penalization* 11:52:51 Parameters 0.177697,0.993345,0.948731,0.728200,0.306534,0.859710,0.695924,0.543143,0.535682,0.676395,0.230006,0.219612,0.480887,0.052881,0.947331,0.445755,0.683577,0.740035,0.141845,0.293974,0.433252,0.340395,0.236146,0.362870,0.446350,0.425404,0.278135,0.856516,0.906694,0.458580,0.577844,0.534394,0.726201,0.690381,0.950890,0.910279,0.203976,0.686847,0.443422,0.094001,0.332837,0.086629,0.956320,0.525779,0.040318,0.254816,0.731233,0.226845,0.848759,0.941223,0.984571,0.030947,0.719172,0.819811,0.969569,0.849130,0.914860,0.545722,0.189466,0.210277,0.844913,0.449620,0.907742,0.841878,0.812279,0.426277,0.264077,0.192086,0.602064,0.208975,0.591680,0.333132,0.534751,0.965575,0.028121,0.382611,0.246021,0.200763,0.912083,0.251529 Objectives 0.3138
Barcelona_Block_SOO_Penalization* 11:53:35 Parameters 0.591955,0.523017,0.210899,0.647668,0.255881,0.302853,0.554489,0.696113,0.572661,0.961318,0.328576,0.255329,0.793703,0.478299,0.133721,0.944908,0.781719,0.335722,0.918751,0.839926,0.603558,0.087795,0.473363,0.312703,0.803755,0.680020,0.087009,0.620324,0.395537,0.962434,0.110523,0.160030,0.013390,0.371706,0.087945,0.584454,0.009449,0.838748,0.148657,0.660179,0.849524,0.681715,0.717900,0.429410,0.098978,0.298548,0.192650,0.044272,0.160175,0.757901,0.344976,0.165481,0.166621,0.053757,0.867477,0.193202,0.021418,0.698198,0.859627,0.980734,0.953704,0.759435,0.309871,0.269709,0.951240,0.718642,0.463326,0.468657,0.212859,0.993291,0.072083,0.033901,0.380085,0.798789,0.861877,0.368932,0.343960,0.837546,0.202150,0.198495 Objectives 0.3044
Barcelona_Block_SOO_Penalization* 11:54:13 Parameters 0.534345,0.820734,0.023276,0.040056,0.781336,0.196330,0.900392,0.005411,0.923970,0.738612,0.077562,0.501621,0.726528,0.908555,0.575620,0.171596,0.495987,0.010254,0.738822,0.927153,0.197446,0.855302,0.287222,0.592873,0.693520,0.277209,0.526872,0.804274,0.322516,0.415969,0.601735,0.260654,0.092166,0.584554,0.575179,0.314885,0.556806,0.619055,0.763504,0.497304,0.509330,0.432528,0.013692,0.224655,0.199760,0.857222,0.555754,0.396066,0.538356,0.724608,0.813292,0.138434,0.204561,0.282595,0.361859,0.402799,0.277852,0.601528,0.753825,0.492593,0.783833,0.870928,0.776128,0.194893,0.596213,0.544149,0.339196,0.485071,0.027880,0.873534,0.220015,0.752435,0.662526,0.259196,0.610277,0.146202,0.663825,0.039040,0.574896,0.584959 Objectives 0.3114
Barcelona_Block_SOO_Penalization* 11:55:00 Parameters 0.665938,0.857142,0.803773,0.191125,0.708095,0.013977,0.447988,0.807206,0.422257,0.708656,0.106195,0.085850,0.715748,0.752032,0.516830,0.584760,0.639619,0.556024,0.458596,0.391630,0.732268,0.588759,0.359341,0.733650,0.483998,0.691621,0.450946,0.833993,0.612639,0.597539,0.658518,0.957266,0.712528,0.012324,0.460511,0.250003,0.614656,0.917752,0.008257,0.818877,0.991440,0.917880,0.268823,0.609538,0.900076,0.523923,0.921394,0.590674,0.924088,0.391433,0.093308,0.679545,0.094891,0.086037,0.904669,0.162473,0.605706,0.899746,0.566189,0.777302,0.831493,0.650056,0.424498,0.624093,0.926248,0.321286,0.511178,0.680445,0.659034,0.947870,0.428532,0.067471,0.578571,0.209417,0.146138,0.793610,0.995620,0.128480,0.300761,0.695075 Objectives 0.3083
Barcelona_Block_SOO_Penalization* 11:55:42 Parameters 0.072741,0.143550,0.775034,0.432124,0.354065,0.346261,0.150298,0.814001,0.792326,0.221645,0.024782,0.328534,0.277885,0.827464,0.454180,0.302847,0.510369,0.521507,0.366574,0.956939,0.656327,0.778086,0.638727,0.757840,0.517359,0.238232,0.198910,0.101325,0.024663,0.907979,0.380799,0.452369,0.226247,0.065901,0.531322,0.060411,0.759706,0.794301,0.817148,0.974932,0.437746,0.514607,0.137982,0.900677,0.796219,0.348867,0.445850,0.428846,0.701655,0.027769,0.264427,0.925416,0.933364,0.705524,0.503189,0.889284,0.772219,0.466901,0.927343,0.787585,0.054258,0.302538,0.804488,0.007471,0.680956,0.223036,0.031876,0.068251,0.828886,0.403041,0.646999,0.881236,0.088264,0.510047,0.641914,0.560483,0.877622,0.410328,0.741529,0.352924 Objectives 0.309
Barcelona_Block_SOO_Penalization* 11:56:28 Parameters 0.279371,0.314156,0.226955,0.399220,0.473576,0.635197,0.920317,0.383177,0.964408,0.000019,0.828121,0.832811,0.752927,0.847009,0.281987,0.821106,0.899387,0.347239,0.603911,0.655361,0.221548,0.398834,0.181126,0.816798,0.854889,0.191663,0.931072,0.641031,0.765776,0.376036,0.651880,0.574714,0.973233,0.978232,0.881955,0.247238,0.045001,0.100802,0.519589,0.869411,0.083090,0.564202,0.865010,0.010661,0.260521,0.897912,0.761790,0.717783,0.819029,0.987886,0.486897,0.789560,0.947958,0.585250,0.024846,0.672983,0.392083,0.567103,0.706321,0.831143,0.604036,0.393039,0.949716,0.302002,0.579250,0.783040,0.824593,0.518087,0.769572,0.097410,0.780754,0.171553,0.914747,0.166132,0.358639,0.691034,0.340976,0.751717,0.181038,0.126076 Objectives 0.3311
Barcelona_Block_SOO_Penalization* 11:57:13 Parameters 0.060207,0.444451,0.927141,0.459397,0.321012,0.923937,0.223415,0.278114,0.602425,0.771289,0.792497,0.049794,0.565652,0.282433,0.803682,0.976231,0.109396,0.688727,0.227898,0.617565,0.718046,0.042938,0.017252,0.900254,0.535172,0.398880,0.357914,0.877895,0.738284,0.353194,0.865042,0.527898,0.200391,0.210072,0.114818,0.652954,0.579518,0.281841,0.378377,0.542477,0.940199,0.326786,0.094572,0.683549,0.609512,0.983310,0.618282,0.546925,0.803820,0.687147,0.296750,0.564314,0.490447,0.633011,0.377919,0.764183,0.836696,0.208200,0.031837,0.347483,0.424447,0.685049,0.566900,0.728065,0.740624,0.106238,0.228820,0.130982,0.988431,0.759142,0.686428,0.499745,0.524436,0.688032,0.307941,0.306684,0.868808,0.658977,0.817639,0.952877 Objectives 0.308
Barcelona_Block_SOO_Penalization* 11:57:48 Parameters 0.097888,0.426229,0.526460,0.310678,0.228050,0.658923,0.391986,0.097911,0.038560,0.444111,0.994143,0.909648,0.885101,0.010056,0.549621,0.348328,0.418152,0.043996,0.191258,0.549932,0.950869,0.154081,0.112472,0.513367,0.200782,0.627662,0.227569,0.531299,0.683640,0.089488,0.540926,0.694490,0.293112,0.451956,0.623719,0.397910,0.108015,0.887917,0.260892,0.794764,0.841560,0.841938,0.839746,0.041591,0.467396,0.662936,0.663687,0.925125,0.037467,0.456572,0.624280,0.416850,0.829607,0.923886,0.060179,0.269043,0.691299,0.851447,0.219511,0.609645,0.383106,0.201731,0.220393,0.934997,0.825833,0.524219,0.785808,0.755586,0.142977,0.050835,0.920208,0.223587,0.870729,0.095646,0.737181,0.119769,0.052553,0.640749,0.604482,0.781947 Objectives 0.3403
Barcelona_Block_SOO_Penalization* 11:58:32 Parameters 0.631918,0.640191,0.481338,0.811843,0.679927,0.386898,0.304993,0.659908,0.450687,0.851349,0.759672,0.295321,0.555379,0.681234,0.262743,0.062357,0.718687,0.847961,0.518518,0.177748,0.286850,0.604156,0.784570,0.420037,0.052185,0.763506,0.299600,0.979584,0.260973,0.568437,0.483017,0.333539,0.927627,0.221220,0.847868,0.214727,0.791220,0.567685,0.712611,0.411092,0.300284,0.636746,0.171220,0.536340,0.561467,0.608228,0.242715,0.181490,0.719634,0.496173,0.948185,0.947663,0.539536,0.533402,0.066781,0.365796,0.374062,0.936328,0.089417,0.030147,0.230701,0.416896,0.128000,0.418032,0.547068,0.664968,0.723955,0.735629,0.570459,0.904958,0.271040,0.943350,0.609519,0.681186,0.580274,0.774598,0.915498,0.451777,0.486796,0.183919 Objectives 0.3232
Barcelona_Block_SOO_Penalization* 11:59:13 Parameters 0.783098,0.311815,0.903867,0.256232,0.885114,0.706254,0.972884,0.127363,0.628846,0.628441,0.190635,0.391696,0.376698,0.397964,0.613130,0.021032,0.556067,0.493413,0.538988,0.124127,0.187337,0.978749,0.757429,0.155819,0.760914,0.612762,0.691102,0.412386,0.990498,0.266330,0.139091,0.411141,0.944747,0.156619,0.731825,0.159701,0.869979,0.987046,0.433535,0.361170,0.121896,0.267965,0.047810,0.281884,0.159310,0.415390,0.006948,0.792554,0.513997,0.199151,0.060391,0.123726,0.381151,0.751654,0.096876,0.223658,0.038989,0.723244,0.937742,0.051696,0.072644,0.485427,0.265124,0.452989,0.511764,0.376804,0.183057,0.845546,0.885483,0.143018,0.835398,0.381900,0.486270,0.862003,0.691925,0.871162,0.296065,0.308167,0.335994,0.601815 Objectives 0.3306
Barcelona_Block_SOO_Penalization* 12:00:00 Parameters 0.014514,0.261703,0.066588,0.865132,0.457441,0.591247,0.834264,0.852315,0.871191,0.886785,0.729891,0.408491,0.174186,0.227332,0.389577,0.928476,0.968977,0.189203,0.787470,0.194529,0.909407,0.219038,0.457780,0.018443,0.288692,0.722959,0.978743,0.779278,0.446206,0.544811,0.903852,0.789698,0.187002,0.825305,0.054479,0.421196,0.380844,0.761394,0.614158,0.572912,0.037498,0.960676,0.673120,0.653497,0.658027,0.922571,0.341844,0.311086,0.315501,0.905168,0.560437,0.208055,0.857230,0.109123,0.173789,0.726891,0.505298,0.755931,0.276576,0.712280,0.888981,0.249078,0.654583,0.714146,0.258222,0.992245,0.598123,0.715202,0.457392,0.515802,0.996341,0.608180,0.789570,0.344080,0.397057,0.003093,0.607373,0.015572,0.893556,0.825935 Objectives 0.3047
Barcelona_Block_SOO_Penalization* 12:00:40 Parameters 0.310044,0.967517,0.546639,0.668451,0.384355,0.960159,0.203402,0.734193,0.517439,0.998392,0.469271,0.346338,0.093311,0.071354,0.832980,0.190047,0.087496,0.837718,0.758470,0.862854,0.576598,0.881601,0.052150,0.442382,0.741422,0.817267,0.384910,0.508049,0.469674,0.524162,0.062772,0.208266,0.832791,0.604192,0.162115,0.091096,0.887286,0.200825,0.574886,0.961373,0.777188,0.242440,0.730483,0.806522,0.227343,0.313074,0.126828,0.866444,0.483304,0.527297,0.894853,0.501469,0.650593,0.454042,0.304725,0.309924,0.289514,0.035672,0.479807,0.304212,0.698855,0.336727,0.602073,0.040819,0.344222,0.012415,0.142024,0.434682,0.310814,0.642995,0.853735,0.568227,0.727652,0.136024,0.046165,0.456416,0.448658,0.088405,0.657296,0.502924 Objectives 0.3238
